"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","threshold_padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","pvalue","padj","significant","significant_strict","higher_in_Dere","lower_in_Dere"
"CG5250_OG0002164_OG0",1733.83989922039,-4.54306970810877,0.144518028183363,-31.4360067405885,1.5814217822859e-172,1.55184919495715e-168,-4.54306970810877,6.52049707733585e-217,6.39856378198967e-213,-4.5343285888835,4.83906735689686e-129,1.5814217822859e-172,1.55184919495715e-168,TRUE,TRUE,TRUE,FALSE
"Saf-B_OG0001038_OG0",5244.51083859499,-10.2852878660438,0.40331713324465,-25.5017380077548,2.46882379741238e-130,1.21132839620039e-126,-10.2852878660438,1.88565989511506e-143,6.16799351692136e-140,-10.262359349865,6.83870321717337e-114,2.46882379741238e-130,1.21132839620039e-126,TRUE,TRUE,TRUE,FALSE
"Cndp2_OG0000776_OG0",3269.83066491752,4.12389540320851,0.153153341383358,26.9265780684862,4.45388633692831e-124,1.45686622080925e-120,4.12389540320851,1.07298754262572e-159,5.26461337789311e-156,4.12156488818095,2.89747533455806e-89,4.45388633692831e-124,1.45686622080925e-120,TRUE,TRUE,FALSE,TRUE
"su(f)_OG0001788_OG0",1624.24896237935,-3.36248850186647,0.13275877805859,-25.327805445622,2.06161725019874e-103,5.05766251905006e-100,-3.36248850186647,1.57836068776203e-141,3.8721133572522e-138,-3.35525945363888,4.70965508144882e-68,2.06161725019874e-103,5.05766251905006e-100,TRUE,TRUE,TRUE,FALSE
"BTBD9_OG0000546_OG0",623.557551690481,-6.14351092755321,0.276332727056417,-22.2322958014993,5.23497838293519e-93,1.02741685743486e-89,-6.14351092755321,1.67353214617667e-109,2.73706182507194e-106,-6.1198318507371,3.06529286126741e-74,5.23497838293519e-93,1.02741685743486e-89,TRUE,TRUE,TRUE,FALSE
"del_OG0000960_OG0",353.862103342065,5.28834526582866,0.237169551233683,22.2977411658466,6.04869901755415e-91,9.89264724320981e-88,5.28834526582866,3.88627709649748e-110,7.62720742958595e-107,5.27038294864622,3.65547763845014e-70,6.04869901755415e-91,9.89264724320981e-88,TRUE,TRUE,FALSE,TRUE
"dmt_OG0001387_OG0",962.710732771734,5.88816016351223,0.269874007066935,21.8181818527333,5.49991309114227e-89,7.7100924519113e-86,5.88816016351223,1.55936752341089e-105,2.18601050103301e-102,5.8620473708491,2.48075544289688e-70,5.49991309114227e-89,7.7100924519113e-86,TRUE,TRUE,FALSE,TRUE
"Arc42_OG0001370_OG0",1466.21611161793,-9.31051743933919,0.463874745911364,-20.0711884434386,9.68596122980472e-81,1.18810421935092e-77,-9.31051743933919,1.31814665863274e-89,1.43721924012923e-86,-9.27142071508775,6.26414630916784e-69,9.68596122980472e-81,1.18810421935092e-77,TRUE,TRUE,TRUE,FALSE
"myd_OG0002162_OG0",669.494709500132,-4.71446872916165,0.222104660999111,-21.2263385556799,1.3687075728249e-80,1.49234749023674e-77,-4.71446872916165,5.45506001434074e-100,6.69131299009071e-97,-4.69421792811412,3.58577270487991e-60,1.3687075728249e-80,1.49234749023674e-77,TRUE,TRUE,TRUE,FALSE
"Spf45_OG0002689_OG0",1152.12827129095,6.91387817178966,0.346685462660719,19.9427980588729,1.02153650173459e-76,1.00243376915215e-73,6.91387817178966,1.7310580204719e-88,1.54426112317189e-85,6.86570431970717,1.48691404917729e-62,1.02153650173459e-76,1.00243376915215e-73,TRUE,TRUE,FALSE,TRUE
