"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","threshold_padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","pvalue","padj","significant","significant_strict","higher_in_Dere","lower_in_Dere"
"RpS4_OG0003922_OG0",58495.5287542659,-12.9550236487771,0.30536540146987,-42.4246610336941,0,0,-12.9550236487771,0,0,-12.9405053469223,0,0,0,TRUE,TRUE,TRUE,FALSE
"Tctp_OG0000579_OG0",20322.2625170542,-9.95358693434592,0.202679097086367,-49.1100812932102,0,0,-9.95358693434592,0,0,-9.94516652482773,0,0,0,TRUE,TRUE,TRUE,FALSE
"Trl_OG0004046_OG0",3705.64974938036,-8.16009786161152,0.278815772278378,-29.2669880004644,1.81092811573772e-166,4.44265939993356e-163,-8.16009786161152,2.72996435388386e-188,5.35782804093247e-185,-8.1432869995881,3.1662049568131e-142,1.81092811573772e-166,4.44265939993356e-163,TRUE,TRUE,TRUE,FALSE
"Rat1_OG0001276_OG1",2274.00616582368,-4.72606251556277,0.153787562573744,-30.731110087635,1.52765527127383e-166,4.44265939993356e-163,-4.72606251556277,2.18677467025871e-207,7.15293994641624e-204,-4.71539664151038,1.0900597872928e-126,1.52765527127383e-166,4.44265939993356e-163,TRUE,TRUE,TRUE,FALSE
"CG31705_OG0001279_OG0",9981.00001282671,-9.99993556127642,0.360210056341573,-27.7614002863759,1.38646349281437e-153,2.72107325099748e-150,-9.99993556127642,1.2693138880913e-169,2.07596286397332e-166,-9.97270178410503,1.08500425106174e-134,1.38646349281437e-153,2.72107325099748e-150,TRUE,TRUE,TRUE,FALSE
"Exo70_OG0004091_OG0",750.601195854569,-4.19132151894032,0.1428064174746,-29.3496720459766,1.26705160310132e-147,2.07226289687222e-144,-4.19132151894032,2.41265475980204e-189,5.91884528948436e-186,-4.18380701004396,9.01382260999084e-108,1.26705160310132e-147,2.07226289687222e-144,TRUE,TRUE,TRUE,FALSE
"Cndp2_OG0000776_OG0",3269.83066491752,4.18463211538405,0.153056973076285,27.3403558902108,2.36327284006446e-128,3.31297091136464e-125,4.18463211538405,1.40626406939964e-164,1.97138133043124e-161,4.18397713017405,2.04585833076405e-93,2.36327284006446e-128,3.31297091136464e-125,TRUE,TRUE,FALSE,TRUE
"RpS12_OG0001997_OG0",21980.139027131,-12.9822150780757,0.523144710915967,-24.8157246115427,3.99019727747203e-126,4.89447573547913e-123,-12.9822150780757,6.06535138243413e-136,5.95192931158261e-133,-12.9399301097573,3.44974205503778e-113,3.99019727747203e-126,4.89447573547913e-123,TRUE,TRUE,TRUE,FALSE
"ncm_OG0003699_OG0",3070.02457340728,-4.31298356451457,0.161679736942542,-26.6760921688493,2.84217044142556e-123,3.098913171301e-120,-4.31298356451457,8.91694548570554e-157,1.09377482564036e-153,-4.30142067596767,1.15474130858711e-90,2.84217044142556e-123,3.098913171301e-120,TRUE,TRUE,TRUE,FALSE
"CG4038_OG0012056_OG0",993.373442219882,-7.15980583068067,0.285852164889376,-25.0472331859074,2.31837203251706e-120,2.275018475509e-117,-7.15980583068067,1.87134103970912e-138,2.04038551362951e-135,-7.1385608746542,3.32383145231347e-100,2.31837203251706e-120,2.275018475509e-117,TRUE,TRUE,TRUE,FALSE
"AGO2_OG0000119_OG0",4123.74100497793,-10.4779778799203,0.456638546186691,-22.9458900642972,3.80812429376862e-106,3.39719306315923e-103,-10.4779778799203,1.6194957325746e-116,1.13515083026818e-113,-10.4382138767963,5.31205620971291e-93,3.80812429376862e-106,3.39719306315923e-103,TRUE,TRUE,TRUE,FALSE
"Wee1_OG0001275_OG0",684.443224346222,-5.60041839465445,0.233985205248042,-23.9349252390449,1.21088608662922e-105,9.90202097341044e-103,-5.60041839465445,1.32648230425962e-126,1.18334280469996e-123,-5.58140315385335,1.89750776094227e-83,1.21088608662922e-105,9.90202097341044e-103,TRUE,TRUE,TRUE,FALSE
"cher_OG0002557_OG0",42386.8937685731,-6.54445899505757,0.283942038555482,-23.0485736749361,7.38753010023125e-101,5.57644868258225e-98,-6.54445899505757,1.52015574399715e-117,1.24310735965367e-114,-6.51901159408693,2.45617976184194e-82,7.38753010023125e-101,5.57644868258225e-98,TRUE,TRUE,TRUE,FALSE
"dmt_OG0001387_OG0",962.710732771734,6.21099723040432,0.269520937324003,23.0445815901041,5.97574335470183e-100,4.18856925283493e-97,6.21099723040432,1.66693941219349e-117,1.25828280398883e-114,6.18616052608013,9.68759575226259e-81,5.97574335470183e-100,4.18856925283493e-97,TRUE,TRUE,FALSE,TRUE
"del_OG0000960_OG0",353.862103342065,5.37055724108658,0.236851884253114,22.6747499097254,2.90016570205164e-94,1.89728840228218e-91,5.37055724108658,7.95324432261676e-114,4.87782415861489e-111,5.35278599439125,1.52107251282119e-73,2.90016570205164e-94,1.89728840228218e-91,TRUE,TRUE,FALSE,TRUE
"qtc_OG0001808",3418.65075941429,5.07026881677707,0.224204149327381,22.6145182057871,1.14991288024938e-92,7.05255943367945e-90,5.07026881677707,3.119177455926e-113,1.80049931617658e-110,5.04905359093163,2.91292381496446e-71,1.14991288024938e-92,7.05255943367945e-90,TRUE,TRUE,FALSE,TRUE
"CG33523_OG0010223",684.494021167712,-5.35694829195357,0.238964003339129,-22.4173859539471,3.86282905244973e-92,2.22976126421701e-89,-5.35694829195357,2.66376505960818e-111,1.45219591832973e-108,-5.33288826768126,7.74634214007325e-72,3.86282905244973e-92,2.22976126421701e-89,TRUE,TRUE,TRUE,FALSE
"BTBD9_OG0000546_OG0",623.557551690481,-4.54170684236424,0.199607801702237,-22.7531529511021,1.84077021531893e-91,1.0035265623847e-88,-4.54170684236424,1.33549038654366e-114,8.73677810876864e-112,-4.52704825205535,3.96790786851394e-68,1.84077021531893e-91,1.0035265623847e-88,TRUE,TRUE,TRUE,FALSE
"Vps50_OG0002763_OG0",628.275444135286,-6.9623374133067,0.325789797746181,-21.3706428546021,7.29251642698419e-88,3.76639282621031e-85,-6.9623374133067,2.50657965719409e-101,1.29458243031819e-98,-6.92249123460887,2.33714962312432e-72,7.29251642698419e-88,3.76639282621031e-85,TRUE,TRUE,TRUE,FALSE
"ihog_OG0001940_OG0",3129.14545312846,-9.52524143641498,0.458373276507419,-20.7805339547556,1.32072972784982e-86,6.48016040969513e-84,-9.52524143641498,6.49324693846549e-96,3.03420153367437e-93,-9.48044767423766,1.07266707283019e-74,1.32072972784982e-86,6.48016040969513e-84,TRUE,TRUE,TRUE,FALSE
"Smyd4-4_OG0001613_OG0",1307.05203689716,-9.07062749642708,0.443999376287857,-20.4293699064711,2.52213424773806e-83,1.17855730347874e-80,-9.07062749642708,9.16772816282569e-93,3.91143115051341e-90,-9.02809102829975,2.023268860714e-71,2.52213424773806e-83,1.17855730347874e-80,TRUE,TRUE,TRUE,FALSE
"Spf45_OG0002689_OG0",1152.12827129095,7.15478307236796,0.346311591124976,20.6599584181575,1.35522198519538e-82,6.04490606396465e-80,7.15478307236796,7.94326853719543e-95,3.54305882524994e-92,7.10787641441581,2.46745678899507e-68,1.35522198519538e-82,6.04490606396465e-80,TRUE,TRUE,FALSE,TRUE
"FER_OG0002349_OG0",2422.68396930686,-10.1672526459138,0.511515864107112,-19.8767103023509,5.78716774941614e-80,2.46910770108785e-77,-10.1672526459138,6.4742101092852e-88,2.54125695209662e-85,-10.116463055308,1.86441308291079e-69,5.78716774941614e-80,2.46910770108785e-77,TRUE,TRUE,TRUE,FALSE
"Srrm1_OG0003921_OG0",3205.7008027019,-10.5640209257779,0.533846103478359,-19.7885136876457,1.4169987301183e-79,5.79375355777119e-77,-10.5640209257779,3.73906463297564e-87,1.3589422682737e-84,-10.5162185372616,1.99741994150687e-69,1.4169987301183e-79,5.79375355777119e-77,TRUE,TRUE,TRUE,FALSE
"NO66_OG0000686_OG0",1008.43218617663,-7.99111137519475,0.404492549819552,-19.7558926085528,7.15155764348923e-77,2.80712940622239e-74,-7.99111137519475,7.13824962758272e-87,2.50170155698104e-84,-7.94377956706485,1.22577824851393e-64,7.15155764348923e-77,2.80712940622239e-74,TRUE,TRUE,TRUE,FALSE
