"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","threshold_padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","pvalue","padj","significant","significant_strict","higher_in_Dere","lower_in_Dere"
"RabX5_OG0011023",53191.8610187641,-12.8142148356148,0.305449977995385,-41.9519258757595,0,0,-12.8142148356148,0,0,-12.7989833338442,0,0,0,TRUE,TRUE,TRUE,FALSE
"RpS30_OG0002401_OG0",27592.7823593719,-9.11634748984509,0.177708327386126,-51.2994952118197,0,0,-9.11634748984509,0,0,-9.10919282355536,0,0,0,TRUE,TRUE,TRUE,FALSE
"RpLP0_OG0003824_OG0",61859.9289895253,-13.9988184690037,0.430079398674362,-32.5493816075646,1.53151776893165e-216,5.00959462217542e-213,-13.9988184690037,2.13641390094243e-232,4.19292592198962e-229,-13.9723449447612,1.8615590679412e-197,1.53151776893165e-216,5.00959462217542e-213,TRUE,TRUE,TRUE,FALSE
"hyx_OG0002340_OG0",1353.29013023642,-5.31408504476834,0.155101859642932,-34.2619041254707,8.22695326598902e-212,2.01827730997876e-208,-5.31408504476834,2.89984200580854e-257,9.48538320099973e-254,-5.28477451503482,3.55055984212448e-167,8.22695326598902e-212,2.01827730997876e-208,TRUE,TRUE,TRUE,FALSE
"Tif-IA_OG0004141_OG0",1365.6449584176,-5.80609407321463,0.180691823431588,-32.1325777943288,7.59018218758534e-190,1.4896491561355e-186,-5.80609407321463,1.54701183679447e-226,2.53013785907736e-223,-5.79648747428605,6.97096502195244e-153,7.59018218758534e-190,1.4896491561355e-186,TRUE,TRUE,TRUE,FALSE
"CG12581_OG0001679_OG0",4083.25552679901,-3.74107473078541,0.113257675832915,-33.0315336534407,2.07491481162175e-180,3.39352317440738e-177,-3.74107473078541,2.86497900676202e-239,7.02850974833893e-236,-3.72814751252105,1.48161377471001e-126,2.07491481162175e-180,3.39352317440738e-177,TRUE,TRUE,TRUE,FALSE
"kuk_OG0000753_OG0",3568.16322955746,-7.41427103840425,0.249330727501247,-29.7366919541322,1.46365193808503e-169,2.0518309240612e-166,-7.41427103840425,2.57740506069722e-194,3.61315369437455e-191,-7.41043840154171,4.8990996031396e-143,1.46365193808503e-169,2.0518309240612e-166,TRUE,TRUE,TRUE,FALSE
"AGO2_OG0000119_OG0",4123.74100497793,-5.72543992443456,0.206728821196671,-27.6954122375983,2.87539290149449e-141,3.52702881779568e-138,-5.72543992443456,7.92952856192754e-169,9.72655797227437e-166,-5.71024504068884,6.60960598739275e-113,2.87539290149449e-141,3.52702881779568e-138,TRUE,TRUE,TRUE,FALSE
"CG17271_OG0002395_OG0",2504.63689264209,-7.3979122068633,0.274131631203622,-26.9867150112575,5.12148721359259e-140,5.58412822522045e-137,-7.3979122068633,2.11640068885221e-160,2.07682399597068e-157,-7.38095660590707,1.09750914227629e-117,5.12148721359259e-140,5.58412822522045e-137,TRUE,TRUE,TRUE,FALSE
"Cndp2_OG0000776_OG0",3269.83066491752,4.17534989122264,0.153163015293953,27.2608232686542,1.51872195384447e-127,1.49032185330758e-124,4.17534989122264,1.23682104533509e-163,1.34854721309702e-160,4.16810693954768,8.77531080156732e-93,1.51872195384447e-127,1.49032185330758e-124,TRUE,TRUE,FALSE,TRUE
"rept_OG0003847_OG0",1982.46424486278,-4.51727305446994,0.175649341131141,-25.7175633303248,4.51874436876585e-116,4.03113077188176e-113,-4.51727305446994,7.4366461131321e-146,6.63416439165139e-143,-4.50548309629156,1.27394875046941e-86,4.51874436876585e-116,4.03113077188176e-113,TRUE,TRUE,TRUE,FALSE
"krz_OG0002675_OG0",1356.07867403581,-5.96312841790052,0.239497196239653,-24.8985312209397,1.79024242843355e-115,1.46397074585153e-112,-5.96312841790052,7.71774697748995e-137,5.04895007267392e-134,-5.9536980873286,9.56096947958144e-93,1.79024242843355e-115,1.46397074585153e-112,TRUE,TRUE,TRUE,FALSE
"mod_OG0000067_OG0",7520.67807010782,-4.14926210087907,0.161627017518308,-25.6718348490782,3.54162812778289e-113,2.67338437061027e-110,-4.14926210087907,2.4123195740534e-145,1.97267433168217e-142,-4.13291492580724,4.53540704668521e-82,3.54162812778289e-113,2.67338437061027e-110,TRUE,TRUE,TRUE,FALSE
"P58IPK_OG0002574_OG0",1874.21284596726,-4.02954560241121,0.157648475399221,-25.5603207846254,2.53540488989042e-111,1.77713772746391e-108,-4.02954560241121,4.2160418831376e-144,3.18246299994072e-141,-4.01961675278998,7.68502896611837e-80,2.53540488989042e-111,1.77713772746391e-108,TRUE,TRUE,TRUE,FALSE
"E2f1_OG0002288_OG0",5145.54337390607,-4.6968058684834,0.18950714469,-24.7843208031367,5.71308867101898e-109,3.73750260858062e-106,-4.6968058684834,1.3232419422272e-135,8.11560823692217e-133,-4.68228535097345,3.10264571160071e-82,5.71308867101898e-109,3.73750260858062e-106,TRUE,TRUE,TRUE,FALSE
"CG8064_OG0002474_OG0",912.898803188836,-3.48907237603062,0.137597298475059,-25.3571284807096,6.17391516702922e-105,3.78653934587861e-102,-3.48907237603062,7.49847988780288e-142,5.25589879564355e-139,-3.47892913455927,9.00137230229606e-71,6.17391516702922e-105,3.78653934587861e-102,TRUE,TRUE,TRUE,FALSE
"AdSS_OG0000854_OG0",4307.02123473036,-8.97856683577503,0.391918969707209,-22.9092428021095,4.34947939679402e-104,2.51067301886704e-101,-8.97856683577503,3.75819854449259e-116,1.94101064826873e-113,-8.94352397562745,1.62248964474381e-89,4.34947939679402e-104,2.51067301886704e-101,TRUE,TRUE,TRUE,FALSE
"Spf45_OG0002689_OG0",1152.12827129095,7.80882483859801,0.346069489447352,22.5643261735328,2.6308103250494e-99,1.43423009553943e-96,7.80882483859801,9.71422825352216e-113,4.76628609259065e-110,7.76397254203961,1.24429215115773e-83,2.6308103250494e-99,1.43423009553943e-96,TRUE,TRUE,FALSE,TRUE
"CG42748_OG0000141_OG1",4557.78562977741,-5.71830654921311,0.248608376401265,-23.0012625961706,4.0415644781215e-98,2.0873616959898e-95,-5.71830654921311,4.5276072841907e-117,2.46830057109796e-114,-5.70306917981525,6.25608954892488e-78,4.0415644781215e-98,2.0873616959898e-95,TRUE,TRUE,TRUE,FALSE
"CG2767_OG0001410_OG0",2950.11034591524,-3.94217023549387,0.169519544989604,-23.2549599855027,5.754540389152e-92,2.82346524193743e-89,-3.94217023549387,1.26730632431841e-119,7.31533938855094e-117,-3.92768788664966,3.7946469279175e-65,5.754540389152e-92,2.82346524193743e-89,TRUE,TRUE,TRUE,FALSE
"CG9135_OG0002684_OG0",4805.44776388296,-10.5600044614298,0.500919823538935,-21.0812269053852,5.18964654657617e-90,2.42504769340723e-87,-10.5600044614298,1.18277491958942e-98,4.46406549458882e-96,-10.5131973600103,9.18946458609351e-79,5.18964654657617e-90,2.42504769340723e-87,TRUE,TRUE,TRUE,FALSE
"Tig_OG0000660_OG0",8966.4399843749,-12.3102501253352,0.594756051113939,-20.6979821428953,4.76477174748569e-88,2.1253047799126e-85,-12.3102501253352,3.61178860815397e-95,1.26580291470768e-92,-12.251859481226,3.20828117633101e-78,4.76477174748569e-88,2.1253047799126e-85,TRUE,TRUE,TRUE,FALSE
"CG44838_OG0011015",1584.57059648039,-4.58802378970768,0.20714995347884,-22.1483216030572,5.43902462030312e-87,2.32057167821889e-84,-4.58802378970768,1.08278216259082e-108,4.82970061886532e-106,-4.56749981932783,6.68910718243826e-65,5.43902462030312e-87,2.32057167821889e-84,TRUE,TRUE,TRUE,FALSE
