"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","threshold_padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","pvalue","padj","significant","significant_strict","higher_in_Dere","lower_in_Dere"
"eIF4E7_OG0000307_OG1",6222.02469767008,-7.15691290775411,0.150149257203154,-47.6653234326077,0,0,-7.15691290775411,0,0,-7.1506124560457,0,0,0,TRUE,TRUE,TRUE,FALSE
"l(3)04053_OG0003814_OG0",1346.50602162971,-4.78962269776936,0.147613353719648,-32.4470827135732,5.77625589504364e-186,2.83411995490316e-182,-4.78962269776936,5.95492548042308e-231,2.92178418696958e-227,-4.78002650643817,5.79858072886751e-142,5.77625589504364e-186,2.83411995490316e-182,TRUE,TRUE,TRUE,FALSE
"CG8379_OG0001424_OG0",812.696589829869,-6.0915879425657,0.202873438298266,-30.0265426251109,1.59110405600524e-167,5.20450136719315e-164,-6.0915879425657,4.42043548800799e-198,1.44592444812741e-194,-6.07992874776419,8.69174297505276e-136,1.59110405600524e-167,5.20450136719315e-164,TRUE,TRUE,TRUE,FALSE
"CG12877_OG0001472_OG0",927.077315172167,-4.85136591604759,0.172965752273497,-28.0481300620512,5.86647841639685e-140,1.43919381750256e-136,-4.85136591604759,4.20990742891482e-173,1.03279553999853e-169,-4.83981756918051,9.54616144602838e-107,5.86647841639685e-140,1.43919381750256e-136,TRUE,TRUE,TRUE,FALSE
"Dap160_OG0001258_OG1",1500.45042168346,-5.3875942744999,0.20274160208279,-26.573698832171,1.04269387821985e-128,2.04639100539427e-125,-5.3875942744999,1.36728929232296e-155,2.68344196511305e-152,-5.37397158695423,5.14377686812715e-101,1.04269387821985e-128,2.04639100539427e-125,TRUE,TRUE,TRUE,FALSE
"Spf45_OG0002689_OG0",1152.12827129095,8.50312028878021,0.345708400340716,24.5962212095509,7.28300108043142e-119,1.19113482670456e-115,8.50312028878021,1.38643833743976e-133,2.26751990088272e-130,8.46299642947725,1.86124893609102e-101,7.28300108043142e-119,1.19113482670456e-115,TRUE,TRUE,FALSE,TRUE
"CG46314_OG0001273_OG0",20377.6766743451,-14.1681079752475,0.607531950905718,-23.3207619025229,2.18280203616246e-112,3.05997662583746e-109,-14.1681079752475,2.72993439565643e-120,2.97653846939739e-117,-14.0498060486528,2.90382300655639e-101,2.18280203616246e-112,3.05997662583746e-109,TRUE,TRUE,TRUE,FALSE
"CG11370_OG0003817_OG0",18233.7330081407,-13.6455838930639,0.623546405162536,-21.8838305859641,5.82228312554204e-99,7.14175803886801e-96,-13.6455838930639,3.70388619928382e-106,2.79586425181324e-103,-13.5853460866202,1.18207585835633e-88,5.82228312554204e-99,7.14175803886801e-96,TRUE,TRUE,TRUE,FALSE
"CG2818_OG0008788",1281.10435450851,-3.20653325401085,0.131513135014001,-24.3818478942768,2.07570589999156e-94,2.26321133295746e-91,-3.20653325401085,2.66469179367893e-131,3.73551722448162e-128,-3.19577242683337,1.7333592137166e-60,2.07570589999156e-94,2.26321133295746e-91,TRUE,TRUE,TRUE,FALSE
"Tpr2_OG0003536_OG0",4425.8583457449,-3.15644986835389,0.129656709831051,-24.3446704182675,1.36800476341025e-93,1.34242307433448e-90,-3.15644986835389,6.60200737343412e-131,8.09818729443863e-128,-3.14689071324446,1.54271000821459e-59,1.36800476341025e-93,1.34242307433448e-90,TRUE,TRUE,TRUE,FALSE
"Cndp2_OG0000776_OG0",3269.83066491752,3.5658129820594,0.15338058861219,23.2481372924918,3.48331808536653e-89,3.10743639742743e-86,3.5658129820594,1.4856080888764e-119,1.45782721761441e-116,3.54008538354276,3.32764649472261e-60,3.48331808536653e-89,3.10743639742743e-86,TRUE,TRUE,FALSE,TRUE
"CG17738_OG0004945",6722.95425223132,-9.98462823399884,0.478572247617243,-20.863366573618,1.02892529401332e-87,8.41403659179389e-85,-9.98462823399884,1.15265275900751e-96,7.5406543494271e-94,-9.93330432842576,6.74207120783271e-76,1.02892529401332e-87,8.41403659179389e-85,TRUE,TRUE,TRUE,FALSE
"Irp-1B_OG0000130_OG0",1541.12292935822,-2.78373570408811,0.122114431677321,-22.7961238147834,2.4019008017507e-78,1.81306558212151e-75,-2.78373570408811,5.00961059539449e-115,4.46902807023692e-112,-2.77240511334614,7.76220161706395e-46,2.4019008017507e-78,1.81306558212151e-75,TRUE,TRUE,TRUE,FALSE
"dmt_OG0001387_OG0",962.710732771734,5.52062942963179,0.270130018075775,20.4369342917053,2.08677911021146e-77,1.4626831006075e-74,5.52062942963179,7.85191008998938e-93,4.81567460706661e-90,5.49290551205405,3.24903661397089e-60,2.08677911021146e-77,1.4626831006075e-74,TRUE,TRUE,FALSE,TRUE
"CR18217_OG0004015_OG0",725.55699406708,-2.29691066307621,0.10094240836384,-22.7546647668358,3.44957577210884e-71,2.25671247011361e-68,-2.29691066307621,1.29024568009367e-114,1.0550984048966e-111,-2.2887490094459,1.54613231140807e-35,3.44957577210884e-71,2.25671247011361e-68,TRUE,TRUE,TRUE,FALSE
"JhI-21_OG0000978_OG0",1037.1637660624,-3.20343493036317,0.152083939046765,-21.0635978423608,5.42816422673799e-71,3.32916097231124e-68,-3.20343493036317,1.71632102056666e-98,1.20301844105861e-95,-3.18832089667101,3.91682828703507e-45,5.42816422673799e-71,3.32916097231124e-68,TRUE,TRUE,TRUE,FALSE
"GNBP1_OG0010140",1270.32170670193,-3.95970950840864,0.19918005792094,-19.8800499896448,6.99065411508437e-68,4.03525228419547e-65,-3.95970950840864,6.05734672153194e-88,3.49651431637606e-85,-3.93983291168726,1.97580809999636e-47,6.99065411508437e-68,4.03525228419547e-65,TRUE,TRUE,TRUE,FALSE
"Syx6_OG0002788_OG0",423.354851243709,-3.89834994703641,0.199992194384332,-19.4925104904085,4.67319687436303e-65,2.54767116267358e-62,-3.89834994703641,1.27090438498531e-84,6.9285470721449e-82,-3.88008204883085,3.9106914439456e-45,4.67319687436303e-65,2.54767116267358e-62,TRUE,TRUE,TRUE,FALSE
